ADMINISTRACION DE BASES DE DATOS
ALGEBRA LINEAL
ALGORITMOS Y PROGRAMACION
APRENDIENDO A EMPRENDER
ARQUITECTURA DEL COMPUTADOR
BASES DE DATOS
COMPETENCIAS EN ACCION
COMPRENSION DE VENEZUELA
COMPUTACION EMERGENTE
DEFENSA PROYECTO INDUSTRIAL-ING.SISTEMAS
DEFENSA TRABAJO DE GRADO-ING.SISTEMAS
DISEñO ASISTIDO POR COMPUTADOR
ECUACIONES DIFERENCIALES
ELEMENTOS DE MATEMATICA 1
ELEMENTOS DE MATEMATICA 2
ESTADISTICA PARA INGENIEROS
ESTRATEGIAS INSTRUMENTALES
ESTRUCTURAS DE DATOS
Electiva
FISICA I
FISICA II
FISICA III
GERENCIA DE PROYECTOS TIC
GESTIÓN DE LA CADENA DE SUMINISTRO I
INGENIERIA DE SOFTWARE
INGENIERIA ECONOMICA
INGENIERÍA AMBIENTAL
INGLES I
INGLES II
INGLES III
INGLES IV
INGLES V
INICIATIVA EMPRENDEDORA
INSTRUMENTACION Y APRENDIZAJE
INTRODUCCION A LA INGENIERIA
LABORATORIO DE FISICA
LABORATORIO QUIMICA GENERAL I
LECTURA Y APRENDIZAJE
LENGUA Y LENGUAJE
LENGUAJE Y UNIVERSALIDAD
LIDERAZGO CIUDADANO Y DES. SOSTENIBLE
MATEMATICA BASICA
MATEMATICA GENERAL
MATEMATICAS DISCRETAS
MATEMATICAS I
MATEMATICAS II
MATEMATICAS III
MATEMATICAS IV
MATEMATICAS V
MODELAC. DE SISTEMAS EN REDES
MODELOS ESTOCASTICOS
OPTIMIZACION I
OPTIMIZACION II
ORGANIZACION DEL COMPUTADOR
PROYECTOS DE INGENIERIA
QUIMICA GENERAL I
RESP. SOCIAL Y PARTICIPACION CIUDADANA
SEGURIDAD DE LA INFORMACIÖN
SERVICIO COMUNITARIO
SIMULACIÓN
SISTEMAS DE APOYO
SISTEMAS DE INFORMACION
SISTEMAS DE REDES
SISTEMAS OPERATIVOS
TALLER DE TRABAJO DE GRADO - INGENIERÍA
TECNICAS DE GESTION DE LA INFORMACION
TECNOLOGIAS PARA EL APRENDIZAJE
